_id,No.,Date,Organization,Number_Passenger,Note
2254,2254,9/8/2023,Red Line,"23,441",
2255,2255,9/8/2023,MRT Blue Line,"483,382",
2256,2256,9/8/2023,MRT Purple Line,"73,768",
2257,2257,9/8/2023,MRT Yellow Line,"37,790",
2258,2258,9/8/2023,BTS Green Line,"848,849",
2259,2259,9/8/2023,BTS Gold Line,"7,208",
2260,2260,10/8/2023,SRT,"66,827",
2261,2261,10/8/2023,ARL,"70,864",
2262,2262,10/8/2023,Red Line,"23,630",
2263,2263,10/8/2023,MRT Blue Line,"481,041",
2264,2264,10/8/2023,MRT Purple Line,"73,042",
2265,2265,10/8/2023,MRT Yellow Line,"38,883",
2266,2266,10/8/2023,BTS Green Line,"846,780",
2267,2267,10/8/2023,BTS Gold Line,"6,927",
2268,2268,11/8/2023,SRT,"87,070",
2269,2269,11/8/2023,ARL,"76,097",
2270,2270,11/8/2023,Red Line,"27,337",
2271,2271,11/8/2023,MRT Blue Line,"498,709",
2272,2272,11/8/2023,MRT Purple Line,"76,171",
2273,2273,11/8/2023,MRT Yellow Line,"43,954",
2274,2274,11/8/2023,BTS Green Line,"910,866",
2275,2275,11/8/2023,BTS Gold Line,"8,091",
2276,2276,12/8/2023,SRT,"87,254",
2277,2277,12/8/2023,ARL,"49,156",
2278,2278,12/8/2023,Red Line,"15,114",
2279,2279,12/8/2023,MRT Blue Line,"282,101",
2280,2280,12/8/2023,MRT Purple Line,"34,403",
2281,2281,12/8/2023,MRT Yellow Line,"31,496",
2282,2282,12/8/2023,BTS Green Line,"575,571",
2283,2283,12/8/2023,BTS Gold Line,"10,269",
2284,2284,13/8/2023,SRT,"71,576",
2285,2285,13/8/2023,ARL,"46,324",
2286,2286,13/8/2023,Red Line,"13,738",
2287,2287,13/8/2023,MRT Blue Line,"265,050",
2288,2288,13/8/2023,MRT Purple Line,"32,473",
2289,2289,13/8/2023,MRT Yellow Line,"28,661",
2290,2290,13/8/2023,BTS Green Line,"544,602",
2291,2291,13/8/2023,BTS Gold Line,"8,664",
2292,2292,14/8/2023,SRT,"80,011",
2293,2293,14/8/2023,ARL,"46,976",
2294,2294,14/8/2023,Red Line,"14,423",
2295,2295,14/8/2023,MRT Blue Line,"235,563",
2296,2296,14/8/2023,MRT Purple Line,"24,483",
2297,2297,14/8/2023,MRT Yellow Line,"31,964",
2298,2298,14/8/2023,BTS Green Line,"494,507",
2299,2299,14/8/2023,BTS Gold Line,"8,050",
2300,2300,15/8/2023,SRT,"69,496",
2301,2301,15/8/2023,ARL,"72,157",
2302,2302,15/8/2023,Red Line,"24,387",
2303,2303,15/8/2023,MRT Blue Line,"485,751",
2304,2304,15/8/2023,MRT Purple Line,"74,777",
2305,2305,15/8/2023,MRT Yellow Line,"35,599",
2306,2306,15/8/2023,BTS Green Line,"827,490",
2307,2307,15/8/2023,BTS Gold Line,"6,677",
2308,2308,16/8/2023,SRT,"64,740",
2309,2309,16/8/2023,ARL,"71,605",
2310,2310,16/8/2023,Red Line,"23,869",
2311,2311,16/8/2023,MRT Blue Line,"461,133",
2312,2312,16/8/2023,MRT Purple Line,"69,454",
2313,2313,16/8/2023,MRT Yellow Line,"38,424",
2314,2314,16/8/2023,BTS Green Line,"883,046",
2315,2315,16/8/2023,BTS Gold Line,"6,378",
2316,2316,17/8/2023,SRT,"66,799",
2317,2317,17/8/2023,ARL,"73,243",
2318,2318,17/8/2023,Red Line,"24,375",
2319,2319,17/8/2023,MRT Blue Line,"486,633",
2320,2320,17/8/2023,MRT Purple Line,"73,689",
2321,2321,17/8/2023,MRT Yellow Line,"40,101",
2322,2322,17/8/2023,BTS Green Line,"859,080",
2323,2323,17/8/2023,BTS Gold Line,"8,066",
2324,2324,18/8/2023,SRT,"78,842",
2325,2325,18/8/2023,ARL,"77,397",
2326,2326,18/8/2023,Red Line,"25,876",
2327,2327,18/8/2023,MRT Blue Line,"501,623",
2328,2328,18/8/2023,MRT Purple Line,"75,019",
2329,2329,18/8/2023,MRT Yellow Line,"42,132",
2330,2330,18/8/2023,BTS Green Line,"886,324",
2331,2331,18/8/2023,BTS Gold Line,"7,860",
2332,2332,19/8/2023,SRT,"67,096",
2333,2333,19/8/2023,ARL,"56,509",
2334,2334,19/8/2023,Red Line,"16,882",
2335,2335,19/8/2023,MRT Blue Line,"320,517",
2336,2336,19/8/2023,MRT Purple Line,"41,003",
2337,2337,19/8/2023,MRT Yellow Line,"32,738",
2338,2338,19/8/2023,BTS Green Line,"678,938",
2339,2339,19/8/2023,BTS Gold Line,"8,621",
2340,2340,20/8/2023,SRT,"71,667",
2341,2341,20/8/2023,ARL,"48,105",
2342,2342,20/8/2023,Red Line,"15,220",
2343,2343,20/8/2023,MRT Blue Line,"252,240",
2344,2344,20/8/2023,MRT Purple Line,"31,994",
2345,2345,20/8/2023,MRT Yellow Line,"27,281",
2346,2346,20/8/2023,BTS Green Line,"551,554",
2347,2347,20/8/2023,BTS Gold Line,"7,380",
2348,2348,21/8/2023,SRT,"67,333",
2349,2349,21/8/2023,ARL,"71,062",
2350,2350,21/8/2023,Red Line,"25,394",
2351,2351,21/8/2023,MRT Blue Line,"470,392",
2352,2352,21/8/2023,MRT Purple Line,"71,296",
2353,2353,21/8/2023,MRT Yellow Line,"37,875",
2354,2354,21/8/2023,BTS Green Line,"804,129",
2355,2355,21/8/2023,BTS Gold Line,"6,523",
2356,2356,22/8/2023,SRT,"61,831",
2357,2357,22/8/2023,ARL,"70,031",
2358,2358,22/8/2023,Red Line,"25,525",
2359,2359,22/8/2023,MRT Blue Line,"484,757",
2360,2360,22/8/2023,MRT Purple Line,"73,378",
2361,2361,22/8/2023,MRT Yellow Line,"37,915",
2362,2362,22/8/2023,BTS Green Line,"828,605",
2363,2363,22/8/2023,BTS Gold Line,"5,853",
2364,2364,23/8/2023,SRT,"59,955",
2365,2365,23/8/2023,ARL,"71,841",
2366,2366,23/8/2023,Red Line,"24,728",
2367,2367,23/8/2023,MRT Blue Line,"492,880",
2368,2368,23/8/2023,MRT Purple Line,"73,869",
2369,2369,23/8/2023,MRT Yellow Line,"39,496",
2370,2370,23/8/2023,BTS Green Line,"837,760",
2371,2371,23/8/2023,BTS Gold Line,"6,549",
2372,2372,24/8/2023,SRT,"61,845",
2373,2373,24/8/2023,ARL,"73,102",
2374,2374,24/8/2023,Red Line,"25,387",
2375,2375,24/8/2023,MRT Blue Line,"495,461",
2376,2376,24/8/2023,MRT Purple Line,"73,931",
2377,2377,24/8/2023,MRT Yellow Line,"37,882",
2378,2378,24/8/2023,BTS Green Line,"861,368",
2379,2379,24/8/2023,BTS Gold Line,"6,972",
2380,2380,25/8/2023,SRT,"74,452",
2381,2381,25/8/2023,ARL,"77,723",
2382,2382,25/8/2023,Red Line,"27,837",
2383,2383,25/8/2023,MRT Blue Line,"525,455",
2384,2384,25/8/2023,MRT Purple Line,"75,829",
2385,2385,25/8/2023,MRT Yellow Line,"43,381",
2386,2386,25/8/2023,BTS Green Line,"924,828",
2387,2387,25/8/2023,BTS Gold Line,"8,285",
2388,2388,26/8/2023,SRT,"63,173",
2389,2389,26/8/2023,ARL,"56,054",
2390,2390,26/8/2023,Red Line,"17,702",
2391,2391,26/8/2023,MRT Blue Line,"348,145",
2392,2392,26/8/2023,MRT Purple Line,"42,609",
2393,2393,26/8/2023,MRT Yellow Line,"31,573",
2394,2394,26/8/2023,BTS Green Line,"652,382",
2395,2395,26/8/2023,BTS Gold Line,"8,273",
2396,2396,27/8/2023,SRT,"71,308",
2397,2397,27/8/2023,ARL,"48,597",
2398,2398,27/8/2023,Red Line,"15,479",
2399,2399,27/8/2023,MRT Blue Line,"273,640",
2400,2400,27/8/2023,MRT Purple Line,"37,494",
2401,2401,27/8/2023,MRT Yellow Line,"27,742",
2402,2402,27/8/2023,BTS Green Line,"543,231",
2403,2403,27/8/2023,BTS Gold Line,"6,734",
2404,2404,28/8/2023,SRT,"64,767",
2405,2405,28/8/2023,ARL,"71,509",
2406,2406,28/8/2023,Red Line,"25,176",
2407,2407,28/8/2023,MRT Blue Line,"468,746",
2408,2408,28/8/2023,MRT Purple Line,"72,069",
2409,2409,28/8/2023,MRT Yellow Line,"37,081",
2410,2410,28/8/2023,BTS Green Line,"827,254",
2411,2411,28/8/2023,BTS Gold Line,"6,212",
2412,2412,29/8/2023,SRT,"58,276",
2413,2413,29/8/2023,ARL,"70,295",
2414,2414,29/8/2023,Red Line,"24,678",
2415,2415,29/8/2023,MRT Blue Line,"485,707",
2416,2416,29/8/2023,MRT Purple Line,"72,770",
2417,2417,29/8/2023,MRT Yellow Line,"37,131",
2418,2418,29/8/2023,BTS Green Line,"838,191",
2419,2419,29/8/2023,BTS Gold Line,"5,585",
2420,2420,30/8/2023,SRT,"56,828",
2421,2421,30/8/2023,ARL,"69,907",
2422,2422,30/8/2023,Red Line,"24,608",
2423,2423,30/8/2023,MRT Blue Line,"481,126",
2424,2424,30/8/2023,MRT Purple Line,"72,837",
2425,2425,30/8/2023,MRT Yellow Line,"37,519",
2426,2426,30/8/2023,BTS Green Line,"835,729",
2427,2427,30/8/2023,BTS Gold Line,"5,720",
2428,2428,31/8/2023,SRT,"61,809",
2429,2429,31/8/2023,ARL,"72,311",
2430,2430,31/8/2023,Red Line,"25,628",
2431,2431,31/8/2023,MRT Blue Line,"492,937",
2432,2432,31/8/2023,MRT Purple Line,"75,308",
2433,2433,31/8/2023,MRT Yellow Line,"41,722",
2434,2434,31/8/2023,BTS Green Line,"875,456",
2435,2435,31/8/2023,BTS Gold Line,"7,570",
2436,2436,1/9/2023,SRT,"76,271",
2437,2437,1/9/2023,ARL,"76,484",
2438,2438,1/9/2023,Red Line,"28,058",
2439,2439,1/9/2023,MRT Blue Line,"518,232",
2440,2440,1/9/2023,MRT Purple Line,"76,688",
2441,2441,1/9/2023,MRT Yellow Line,"43,905",
2442,2442,1/9/2023,BTS Green Line,"930,903",
2443,2443,1/9/2023,BTS Gold Line,"8,003",
2444,2444,2/9/2023,SRT,"67,656",
2445,2445,2/9/2023,ARL,"55,943",
2446,2446,2/9/2023,Red Line,"17,004",
2447,2447,2/9/2023,MRT Blue Line,"326,102",
2448,2448,2/9/2023,MRT Purple Line,"44,042",
2449,2449,2/9/2023,MRT Yellow Line,"35,477",
2450,2450,2/9/2023,BTS Green Line,"670,432",
2451,2451,2/9/2023,BTS Gold Line,"8,087",
2452,2452,3/9/2023,SRT,"74,663",
2453,2453,3/9/2023,ARL,"50,212",
2454,2454,3/9/2023,Red Line,"15,441",
2455,2455,3/9/2023,MRT Blue Line,"261,530",
2456,2456,3/9/2023,MRT Purple Line,"35,314",
2457,2457,3/9/2023,MRT Yellow Line,"30,468",
2458,2458,3/9/2023,BTS Green Line,"562,896",
2459,2459,3/9/2023,BTS Gold Line,"7,237",
2460,2460,4/9/2023,SRT,"66,889",
2461,2461,4/9/2023,ARL,"72,133",
2462,2462,4/9/2023,Red Line,"25,492",
2463,2463,4/9/2023,MRT Blue Line,"468,051",
2464,2464,4/9/2023,MRT Purple Line,"72,471",
2465,2465,4/9/2023,MRT Yellow Line,"38,988",
2466,2466,4/9/2023,BTS Green Line,"829,028",
2467,2467,4/9/2023,BTS Gold Line,"5,719",
2468,2468,5/9/2023,SRT,"60,937",
2469,2469,5/9/2023,ARL,"71,777",
2470,2470,5/9/2023,Red Line,"24,783",
2471,2471,5/9/2023,MRT Blue Line,"484,430",
2472,2472,5/9/2023,MRT Purple Line,"73,447",
2473,2473,5/9/2023,MRT Yellow Line,"32,696",
2474,2474,5/9/2023,BTS Green Line,"847,197",
2475,2475,5/9/2023,BTS Gold Line,"5,465",
2476,2476,6/9/2023,SRT,"59,396",
2477,2477,6/9/2023,ARL,"72,172",
2478,2478,6/9/2023,Red Line,"24,598",
2479,2479,6/9/2023,MRT Blue Line,"487,802",
2480,2480,6/9/2023,MRT Purple Line,"74,327",
2481,2481,6/9/2023,MRT Yellow Line,"40,878",
2482,2482,6/9/2023,BTS Green Line,"849,671",
2483,2483,6/9/2023,BTS Gold Line,"5,033",
2484,2484,7/9/2023,SRT,"61,893",
2485,2485,7/9/2023,ARL,"71,246",
2486,2486,7/9/2023,Red Line,"24,735",
2487,2487,7/9/2023,MRT Blue Line,"479,570",
2488,2488,7/9/2023,MRT Purple Line,"72,427",
2489,2489,7/9/2023,MRT Yellow Line,"38,999",
2490,2490,7/9/2023,BTS Green Line,"841,066",
2491,2491,7/9/2023,BTS Gold Line,"5,458",
2492,2492,8/9/2023,SRT,"76,344",
2493,2493,8/9/2023,ARL,"74,944",
2494,2494,8/9/2023,Red Line,"27,694",
2495,2495,8/9/2023,MRT Blue Line,"496,918",
2496,2496,8/9/2023,MRT Purple Line,"74,097",
2497,2497,8/9/2023,MRT Yellow Line,"41,599",
2498,2498,8/9/2023,BTS Green Line,"888,322",
2499,2499,8/9/2023,BTS Gold Line,"6,399",
2500,2500,9/9/2023,SRT,"65,442",
2501,2501,9/9/2023,ARL,"52,785",
2502,2502,9/9/2023,Red Line,"17,520",
2503,2503,9/9/2023,MRT Blue Line,"331,052",
2504,2504,9/9/2023,MRT Purple Line,"42,229",
2505,2505,9/9/2023,MRT Yellow Line,"33,336",
2506,2506,9/9/2023,BTS Green Line,"654,779",
2507,2507,9/9/2023,BTS Gold Line,"9,166",
2508,2508,10/9/2023,SRT,"71,845",
2509,2509,10/9/2023,ARL,"46,915",
2510,2510,10/9/2023,Red Line,"15,159",
2511,2511,10/9/2023,MRT Blue Line,"252,696",
2512,2512,10/9/2023,MRT Purple Line,"33,252",
2513,2513,10/9/2023,MRT Yellow Line,"22,614",
2514,2514,10/9/2023,BTS Green Line,"519,202",
2515,2515,10/9/2023,BTS Gold Line,"6,123",
2516,2516,11/9/2023,SRT,"65,488",
2517,2517,11/9/2023,ARL,"71,184",
2518,2518,11/9/2023,Red Line,"25,248",
2519,2519,11/9/2023,MRT Blue Line,"460,255",
2520,2520,11/9/2023,MRT Purple Line,"71,358",
2521,2521,11/9/2023,MRT Yellow Line,"38,225",
2522,2522,11/9/2023,BTS Green Line,"810,703",
2523,2523,11/9/2023,BTS Gold Line,"5,521",
2524,2524,12/9/2023,SRT,"60,280",
2525,2525,12/9/2023,ARL,"69,693",
2526,2526,12/9/2023,Red Line,"24,607",
2527,2527,12/9/2023,MRT Blue Line,"472,626",
2528,2528,12/9/2023,MRT Purple Line,"72,647",
2529,2529,12/9/2023,MRT Yellow Line,"38,168",
2530,2530,12/9/2023,BTS Green Line,"825,027",
2531,2531,12/9/2023,BTS Gold Line,"5,185",
2532,2532,13/9/2023,SRT,"58,067",
2533,2533,13/9/2023,ARL,"70,699",
2534,2534,13/9/2023,Red Line,"24,798",
2535,2535,13/9/2023,MRT Blue Line,"477,128",
2536,2536,13/9/2023,MRT Purple Line,"72,823",
2537,2537,13/9/2023,MRT Yellow Line,"38,469",
2538,2538,13/9/2023,BTS Green Line,"839,656",
2539,2539,13/9/2023,BTS Gold Line,"5,141",
2540,2540,14/9/2023,SRT,"61,040",
2541,2541,14/9/2023,ARL,"71,330",
2542,2542,14/9/2023,Red Line,"25,156",
2543,2543,14/9/2023,MRT Blue Line,"475,901",
2544,2544,14/9/2023,MRT Purple Line,"72,084",
2545,2545,14/9/2023,MRT Yellow Line,"40,112",
2546,2546,14/9/2023,BTS Green Line,"844,533",
2547,2547,14/9/2023,BTS Gold Line,"5,543",
2548,2548,15/9/2023,SRT,"76,748",
2549,2549,15/9/2023,ARL,"74,366",
2550,2550,15/9/2023,Red Line,"27,791",
2551,2551,15/9/2023,MRT Blue Line,"495,757",
2552,2552,15/9/2023,MRT Purple Line,"73,211",
2553,2553,15/9/2023,MRT Yellow Line,"38,225",
2554,2554,15/9/2023,BTS Green Line,"879,773",
2555,2555,15/9/2023,BTS Gold Line,"6,849",
2556,2556,16/9/2023,SRT,"62,675",
2557,2557,16/9/2023,ARL,"54,304",
2558,2558,16/9/2023,Red Line,"16,702",
2559,2559,16/9/2023,MRT Blue Line,"310,766",
2560,2560,16/9/2023,MRT Purple Line,"39,580",
2561,2561,16/9/2023,MRT Yellow Line,"30,813",
2562,2562,16/9/2023,BTS Green Line,"635,520",
2563,2563,16/9/2023,BTS Gold Line,"7,425",
2564,2564,17/9/2023,SRT,"70,773",
2565,2565,17/9/2023,ARL,"46,114",
2566,2566,17/9/2023,Red Line,"14,934",
2567,2567,17/9/2023,MRT Blue Line,"254,642",
2568,2568,17/9/2023,MRT Purple Line,"32,576",
2569,2569,17/9/2023,MRT Yellow Line,"27,115",
2570,2570,17/9/2023,BTS Green Line,"534,802",
2571,2571,17/9/2023,BTS Gold Line,"5,899",
2572,2572,18/9/2023,SRT,"64,845",
2573,2573,18/9/2023,ARL,"69,137",
2574,2574,18/9/2023,Red Line,"24,528",
2575,2575,18/9/2023,MRT Blue Line,"442,959",
2576,2576,18/9/2023,MRT Purple Line,"69,697",
2577,2577,18/9/2023,MRT Yellow Line,"36,767",
2578,2578,18/9/2023,BTS Green Line,"798,089",
2579,2579,18/9/2023,BTS Gold Line,"5,134",
2580,2580,19/9/2023,SRT,"58,247",
2581,2581,19/9/2023,ARL,"69,803",
2582,2582,19/9/2023,Red Line,"23,989",
2583,2583,19/9/2023,MRT Blue Line,"474,313",
2584,2584,19/9/2023,MRT Purple Line,"70,187",
2585,2585,19/9/2023,MRT Yellow Line,"37,436",
2586,2586,19/9/2023,BTS Green Line,"817,244",
2587,2587,19/9/2023,BTS Gold Line,"4,892",
2588,2588,20/9/2023,SRT,"59,002",
2589,2589,20/9/2023,ARL,"70,107",
2590,2590,20/9/2023,Red Line,"24,185",
2591,2591,20/9/2023,MRT Blue Line,"474,160",
2592,2592,20/9/2023,MRT Purple Line,"71,171",
2593,2593,20/9/2023,MRT Yellow Line,"37,813",
2594,2594,20/9/2023,BTS Green Line,"826,731",
2595,2595,20/9/2023,BTS Gold Line,"5,156",
2596,2596,21/9/2023,SRT,"59,302",
2597,2597,21/9/2023,ARL,"71,183",
2598,2598,21/9/2023,Red Line,"24,699",
2599,2599,21/9/2023,MRT Blue Line,"474,981",
2600,2600,21/9/2023,MRT Purple Line,"70,528",
2601,2601,21/9/2023,MRT Yellow Line,"42,731",
2602,2602,21/9/2023,BTS Green Line,"850,569",
2603,2603,21/9/2023,BTS Gold Line,"6,859",
2604,2604,22/9/2023,SRT,"70,170",
2605,2605,22/9/2023,ARL,"75,551",
2606,2606,22/9/2023,Red Line,"26,322",
2607,2607,22/9/2023,MRT Blue Line,"487,086",
2608,2608,22/9/2023,MRT Purple Line,"72,743",
2609,2609,22/9/2023,MRT Yellow Line,"43,346",
2610,2610,22/9/2023,BTS Green Line,"883,677",
2611,2611,22/9/2023,BTS Gold Line,"7,690",
2612,2612,23/9/2023,SRT,"60,442",
2613,2613,23/9/2023,ARL,"52,144",
2614,2614,23/9/2023,Red Line,"16,218",
2615,2615,23/9/2023,MRT Blue Line,"299,966",
2616,2616,23/9/2023,MRT Purple Line,"38,611",
2617,2617,23/9/2023,MRT Yellow Line,"28,894",
2618,2618,23/9/2023,BTS Green Line,"610,758",
2619,2619,23/9/2023,BTS Gold Line,"8,796",
2620,2620,24/9/2023,SRT,"65,692",
2621,2621,24/9/2023,ARL,"48,197",
2622,2622,24/9/2023,Red Line,"14,347",
2623,2623,24/9/2023,MRT Blue Line,"243,251",
2624,2624,24/9/2023,MRT Purple Line,"31,070",
2625,2625,24/9/2023,MRT Yellow Line,"24,819",
2626,2626,24/9/2023,BTS Green Line,"504,469",
2627,2627,24/9/2023,BTS Gold Line,"10,761",
2628,2628,25/9/2023,SRT,"61,629",
2629,2629,25/9/2023,ARL,"70,944",
2630,2630,25/9/2023,Red Line,"24,714",
2631,2631,25/9/2023,MRT Blue Line,"446,098",
2632,2632,25/9/2023,MRT Purple Line,"68,127",
2633,2633,25/9/2023,MRT Yellow Line,"37,922",
2634,2634,25/9/2023,BTS Green Line,"795,441",
2635,2635,25/9/2023,BTS Gold Line,"6,245",
2636,2636,26/9/2023,SRT,"55,038",
2637,2637,26/9/2023,ARL,"70,847",
2638,2638,26/9/2023,Red Line,"23,700",
2639,2639,26/9/2023,MRT Blue Line,"457,706",
2640,2640,26/9/2023,MRT Purple Line,"68,926",
2641,2641,26/9/2023,MRT Yellow Line,"38,974",
2642,2642,26/9/2023,BTS Green Line,"827,170",
2643,2643,26/9/2023,BTS Gold Line,"8,737",
2644,2644,27/9/2023,SRT,"55,128",
2645,2645,27/9/2023,ARL,"69,193",
2646,2646,27/9/2023,Red Line,"23,478",
2647,2647,27/9/2023,MRT Blue Line,"456,368",
2648,2648,27/9/2023,MRT Purple Line,"68,443",
2649,2649,27/9/2023,MRT Yellow Line,"37,839",
2650,2650,27/9/2023,BTS Green Line,"807,622",
2651,2651,27/9/2023,BTS Gold Line,"5,537",
2652,2652,28/9/2023,SRT,"59,130",
2653,2653,28/9/2023,ARL,"69,913",
2654,2654,28/9/2023,Red Line,"23,585",
2655,2655,28/9/2023,MRT Blue Line,"451,862",
2656,2656,28/9/2023,MRT Purple Line,"68,643",
2657,2657,28/9/2023,MRT Yellow Line,"38,226",
2658,2658,28/9/2023,BTS Green Line,"812,837",
2659,2659,28/9/2023,BTS Gold Line,"6,509",
2660,2660,29/9/2023,SRT,"67,699",
2661,2661,29/9/2023,ARL,"74,837",
2662,2662,29/9/2023,Red Line,"26,274",
2663,2663,29/9/2023,MRT Blue Line,"488,312",
2664,2664,29/9/2023,MRT Purple Line,"71,028",
2665,2665,29/9/2023,MRT Yellow Line,"42,866",
2666,2666,29/9/2023,BTS Green Line,"890,961",
2667,2667,29/9/2023,BTS Gold Line,"8,002",
2668,2668,30/9/2023,SRT,"63,478",
2669,2669,30/9/2023,ARL,"57,271",
2670,2670,30/9/2023,Red Line,"16,887",
2671,2671,30/9/2023,MRT Blue Line,"324,831",
2672,2672,30/9/2023,MRT Purple Line,"42,400",
2673,2673,30/9/2023,MRT Yellow Line,"35,283",
2674,2674,30/9/2023,BTS Green Line,"673,213",
2675,2675,30/9/2023,BTS Gold Line,"9,227",
2676,2676,1/10/2023,SRT,"71,161",
2677,2677,1/10/2023,ARL,"49,321",
2678,2678,1/10/2023,Red Line,"14,776",
2679,2679,1/10/2023,MRT Blue Line,"264,271",
2680,2680,1/10/2023,MRT Purple Line,"33,802",
2681,2681,1/10/2023,MRT Yellow Line,"29,305",
2682,2682,1/10/2023,BTS Green Line,"574,695",
2683,2683,1/10/2023,BTS Gold Line,"9,647",
2684,2684,2/10/2023,SRT,"66,158",
2685,2685,2/10/2023,ARL,"70,206",
2686,2686,2/10/2023,Red Line,"24,401",
2687,2687,2/10/2023,MRT Blue Line,"456,483",
2688,2688,2/10/2023,MRT Purple Line,"68,669",
2689,2689,2/10/2023,MRT Yellow Line,"38,176",
2690,2690,2/10/2023,BTS Green Line,"821,870",
2691,2691,2/10/2023,BTS Gold Line,"6,032",
2692,2692,3/10/2023,SRT,"59,445",
2693,2693,3/10/2023,ARL,"73,489",
2694,2694,3/10/2023,Red Line,"25,692",
2695,2695,3/10/2023,MRT Blue Line,"483,011",
2696,2696,3/10/2023,MRT Purple Line,"71,567",
2697,2697,3/10/2023,MRT Yellow Line,"41,759",
2698,2698,3/10/2023,BTS Green Line,"847,903",
2699,2699,3/10/2023,BTS Gold Line,"8,277",
2700,2700,4/10/2023,SRT,"57,236",
2701,2701,4/10/2023,ARL,"68,704",
2702,2702,4/10/2023,Red Line,"24,238",
2703,2703,4/10/2023,MRT Blue Line,"463,883",
2704,2704,4/10/2023,MRT Purple Line,"69,351",
2705,2705,4/10/2023,MRT Yellow Line,"38,541",
2706,2706,4/10/2023,BTS Green Line,"808,255",
2707,2707,4/10/2023,BTS Gold Line,"6,330",
2708,2708,5/10/2023,SRT,"63,090",
2709,2709,5/10/2023,ARL,"69,839",
2710,2710,5/10/2023,Red Line,"25,042",
2711,2711,5/10/2023,MRT Blue Line,"469,649",
2712,2712,5/10/2023,MRT Purple Line,"69,946",
2713,2713,5/10/2023,MRT Yellow Line,"38,243",
2714,2714,5/10/2023,BTS Green Line,"814,461",
2715,2715,5/10/2023,BTS Gold Line,"6,406",
2716,2716,6/10/2023,SRT,"72,473",
2717,2717,6/10/2023,ARL,"73,147",
2718,2718,6/10/2023,Red Line,"26,184",
2719,2719,6/10/2023,MRT Blue Line,"485,529",
2720,2720,6/10/2023,MRT Purple Line,"71,281",
2721,2721,6/10/2023,MRT Yellow Line,"41,153",
2722,2722,6/10/2023,BTS Green Line,"849,924",
2723,2723,6/10/2023,BTS Gold Line,"6,896",
2724,2724,7/10/2023,SRT,"70,339",
2725,2725,7/10/2023,ARL,"54,322",
2726,2726,7/10/2023,Red Line,"18,604",
2727,2727,7/10/2023,MRT Blue Line,"328,519",
2728,2728,7/10/2023,MRT Purple Line,"42,856",
2729,2729,7/10/2023,MRT Yellow Line,"33,009",
2730,2730,7/10/2023,BTS Green Line,"654,249",
2731,2731,7/10/2023,BTS Gold Line,"8,081",
2732,2732,8/10/2023,SRT,"73,865",
2733,2733,8/10/2023,ARL,"47,293",
2734,2734,8/10/2023,Red Line,"15,889",
2735,2735,8/10/2023,MRT Blue Line,"263,962",
2736,2736,8/10/2023,MRT Purple Line,"33,604",
2737,2737,8/10/2023,MRT Yellow Line,"28,710",
2738,2738,8/10/2023,BTS Green Line,"540,110",
2739,2739,8/10/2023,BTS Gold Line,"7,067",
2740,2740,9/10/2023,SRT,"73,152",
2741,2741,9/10/2023,ARL,"70,316",
2742,2742,9/10/2023,Red Line,"24,643",
2743,2743,9/10/2023,MRT Blue Line,"448,069",
2744,2744,9/10/2023,MRT Purple Line,"68,989",
2745,2745,9/10/2023,MRT Yellow Line,"37,119",
2746,2746,9/10/2023,BTS Green Line,"790,111",
2747,2747,9/10/2023,BTS Gold Line,"5,959",
2748,2748,10/10/2023,SRT,"71,532",
2749,2749,10/10/2023,ARL,"70,460",
2750,2750,10/10/2023,Red Line,"25,044",
2751,2751,10/10/2023,MRT Blue Line,"468,597",
2752,2752,10/10/2023,MRT Purple Line,"72,824",
2753,2753,10/10/2023,MRT Yellow Line,"39,235",
2754,2754,10/10/2023,BTS Green Line,"817,651",
2755,2755,10/10/2023,BTS Gold Line,"6,086",
2756,2756,11/10/2023,SRT,"73,593",
2757,2757,11/10/2023,ARL,"69,708",
2758,2758,11/10/2023,Red Line,"24,496",
2759,2759,11/10/2023,MRT Blue Line,"461,617",
2760,2760,11/10/2023,MRT Purple Line,"71,256",
2761,2761,11/10/2023,MRT Yellow Line,"41,110",
2762,2762,11/10/2023,BTS Green Line,"801,243",
2763,2763,11/10/2023,BTS Gold Line,"5,806",
2764,2764,12/10/2023,SRT,"85,563",
2765,2765,12/10/2023,ARL,"74,221",
2766,2766,12/10/2023,Red Line,"27,743",
2767,2767,12/10/2023,MRT Blue Line,"496,272",
2768,2768,12/10/2023,MRT Purple Line,"72,774",
2769,2769,12/10/2023,MRT Yellow Line,"40,347",
2770,2770,12/10/2023,BTS Green Line,"836,560",
2771,2771,12/10/2023,BTS Gold Line,"6,237",
2772,2772,13/10/2023,SRT,"83,866",
2773,2773,13/10/2023,ARL,"50,436",
2774,2774,13/10/2023,Red Line,"16,853",
2775,2775,13/10/2023,MRT Blue Line,"312,628",
2776,2776,13/10/2023,MRT Purple Line,"36,221",
2777,2777,13/10/2023,MRT Yellow Line,"27,326",
2778,2778,13/10/2023,BTS Green Line,"530,466",
2779,2779,13/10/2023,BTS Gold Line,"7,765",
2780,2780,14/10/2023,SRT,"72,634",
2781,2781,14/10/2023,ARL,"51,414",
2782,2782,14/10/2023,Red Line,"16,371",
2783,2783,14/10/2023,MRT Blue Line,"334,720",
2784,2784,14/10/2023,MRT Purple Line,"37,537",
2785,2785,14/10/2023,MRT Yellow Line,"29,312",
